Date,Open,High,Low,Close,Volume
2015-03-25,101.18,101.66,99.02,99.23,425781
2015-03-26,98.97,99.52,97.48,97.57,541133
2015-03-27,97.24,97.69,96.6,97.4,269236
2015-03-30,97.74,99.1,97.53,98.89,375811
2015-03-31,98.83,99.4,97.77,98.04,326312
2015-04-01,98.08,98.39,96.61,96.78,588604
2015-04-02,96.61,97.78,96.54,96.94,751431
2015-04-06,97.1,97.79,96.94,97.64,772335
2015-04-07,97.6,97.82,95.75,95.75,377385
2015-04-08,95.94,96.45,95.85,96.11,319369
2015-04-09,95.9,95.93,94.05,94.27,1015194
2015-04-10,95.08,95.84,94.63,95.01,332419
2015-04-13,94.8,95.43,94.42,94.42,319826
2015-04-14,94.84,95.5,93.55,93.58,536946
2015-04-15,93.91,94.47,93.04,93.11,310128
2015-04-16,92.7,93.52,92.24,93.16,352894
2015-04-17,92.93,93.41,91.76,92.88,299660
2015-04-20,92.95,93.85,92.55,93.01,279312
2015-04-21,93.46,94.24,93.45,93.78,344010
2015-04-22,93.69,94.17,93.32,93.54,228671
2015-04-23,93.6,94.28,93.2,94.01,288370
2015-04-24,94.0,95.02,93.63,94.26,296988
2015-04-27,94.48,94.89,93.5,93.61,306495
2015-04-28,93.4,94.63,92.95,93.96,342404
2015-04-29,92.91,93.33,91.84,92.05,377044
2015-04-30,92.5,92.56,91.08,92.38,646430
2015-05-01,92.45,93.65,92.42,93.38,507463
2015-05-04,93.69,94.2,93.04,93.29,408082
2015-05-05,93.02,93.85,90.51,90.93,416525
2015-05-06,90.94,91.84,89.61,90.51,471644
2015-05-07,90.51,92.1,90.1,91.96,431077
2015-05-08,93.18,94.8,93.06,93.66,330760
2015-05-11,93.34,93.65,91.28,91.5,248156
2015-05-12,91.12,92.73,90.32,92.64,322577
2015-05-13,92.65,93.26,91.22,91.4,467243
2015-05-14,91.69,93.34,91.42,93.31,323049
2015-05-15,93.64,94.46,93.06,94.31,200963
2015-05-18,93.62,94.71,93.39,94.53,271540
2015-05-19,94.29,94.96,93.78,94.53,196480
2015-05-20,94.58,95.27,94.08,94.63,204916
2015-05-21,94.55,95.12,93.4,93.74,179965
2015-05-22,93.38,94.32,92.97,93.48,274809
2015-05-26,93.19,93.37,92.45,93.33,215540
2015-05-27,93.36,94.7,93.36,94.48,225491
2015-05-28,94.48,94.78,93.8,94.43,369703
2015-05-29,94.43,94.6,92.5,92.73,630549
2015-06-01,92.94,94.32,92.61,93.6,403551
2015-06-02,93.28,93.41,92.22,92.92,290763
2015-06-03,92.68,92.68,91.43,91.48,259864
2015-06-04,91.37,92.08,90.96,91.63,319384
2015-06-05,90.4,90.83,89.78,89.98,523611
2015-06-08,90.07,90.92,89.06,90.62,394675
2015-06-09,90.49,90.81,89.79,89.9,214098
2015-06-10,89.93,91.31,89.56,90.29,300534
2015-06-11,90.86,92.52,90.5,91.9,383491
2015-06-12,91.57,92.35,90.02,91.21,216918
2015-06-15,91.16,91.44,90.61,91.22,309248
2015-06-16,91.2,92.22,90.91,91.83,386672
2015-06-17,92.11,92.8,91.32,92.7,313562
2015-06-18,92.71,94.06,92.37,93.3,397874
2015-06-19,93.02,93.55,92.39,93.23,387195
2015-06-22,93.32,93.83,92.37,92.5,179926
2015-06-23,92.33,93.46,91.37,91.62,303663
2015-06-24,91.57,91.76,90.17,90.19,260514
2015-06-25,90.0,90.56,88.83,88.92,414485
2015-06-26,89.09,89.13,88.2,88.67,404579
2015-06-29,88.25,89.53,87.34,87.34,410547
2015-06-30,87.84,88.4,86.84,87.46,385243
2015-07-01,87.93,88.94,86.78,88.9,459369
2015-07-02,89.94,90.46,88.61,88.86,271173
2015-07-06,88.81,90.28,88.73,89.74,354314
2015-07-07,90.06,91.67,89.91,91.01,444070
2015-07-08,90.4,91.24,90.35,90.98,357634
2015-07-09,91.16,91.3,90.08,90.08,259800
2015-07-10,90.2,91.27,90.19,90.65,237434
2015-07-13,90.79,92.46,90.41,90.86,251836
2015-07-14,91.03,91.6,90.25,91.28,181108
2015-07-15,90.99,91.81,90.61,91.48,213950
2015-07-16,91.64,92.6,91.64,92.41,256020
2015-07-17,92.58,92.82,91.74,91.82,344472
2015-07-20,91.75,92.48,91.47,92.03,139926
2015-07-21,92.08,92.64,91.68,92.16,405595
2015-07-22,92.08,93.32,92.08,93.12,334284
2015-07-23,93.39,93.39,91.37,91.87,257103
2015-07-24,91.75,93.01,91.6,92.51,315177
2015-07-27,92.81,93.38,92.33,92.64,276421
2015-07-28,91.51,93.5,91.0,92.64,328665
2015-07-29,92.64,93.77,91.91,93.59,367739
2015-07-30,93.43,93.8,92.23,92.6,325979
2015-07-31,93.34,93.97,92.62,92.71,357378
2015-08-03,92.87,94.21,92.87,94.19,264213
2015-08-04,93.59,94.43,93.13,93.36,208446
2015-08-05,93.54,94.13,91.98,92.55,291320
2015-08-06,92.55,92.81,90.83,92.22,265131
2015-08-07,92.22,92.7,91.45,92.61,221953
2015-08-10,92.88,92.99,91.73,92.16,187289
2015-08-11,92.03,93.54,91.32,92.44,250803
2015-08-12,92.19,92.33,91.04,92.2,229106
2015-08-13,91.66,92.81,90.79,92.27,231455
2015-08-14,91.95,93.86,91.53,93.76,311400
2015-08-17,93.76,94.8,93.29,94.79,380727
2015-08-18,94.45,95.13,94.06,94.87,121703
2015-08-19,94.1,95.05,93.76,94.56,156116
2015-08-20,94.34,95.21,93.34,94.46,347795
2015-08-21,93.87,94.11,92.22,92.23,376039
2015-08-24,89.91,90.5,88.12,88.18,652236
2015-08-25,89.97,90.4,85.57,85.87,607217
2015-08-26,87.44,87.88,85.83,87.55,370856
2015-08-27,88.5,89.08,87.09,88.28,453332
2015-08-28,88.38,88.93,87.52,88.44,273035
2015-08-31,88.4,88.61,85.86,85.99,763624
2015-09-01,84.82,85.5,83.71,84.24,396539
2015-09-02,84.85,85.45,84.33,85.34,254954
2015-09-03,85.59,86.4,85.07,85.4,154604
2015-09-04,84.62,84.62,82.91,83.4,179217
2015-09-08,84.52,85.06,83.41,84.45,402822
2015-09-09,85.31,85.31,83.93,84.22,365752
2015-09-10,84.05,85.29,83.83,84.38,356538
2015-09-11,84.33,86.26,84.0,86.23,351344
2015-09-14,86.53,86.67,85.72,86.58,225249
2015-09-15,86.67,87.74,86.02,87.66,247823
2015-09-16,87.53,89.17,87.53,88.79,263603
2015-09-17,88.88,90.83,87.91,89.55,265120
2015-09-18,88.68,90.23,88.48,88.92,502775
2015-09-21,88.86,90.24,88.86,89.35,357047
2015-09-22,88.71,89.3,87.26,87.31,383025
2015-09-23,87.76,90.21,87.7,89.55,854797
2015-09-24,89.44,89.9,88.14,88.74,378088
2015-09-25,88.48,89.78,87.81,87.91,414309
2015-09-28,87.06,87.97,84.69,85.45,409905
2015-09-29,85.46,86.04,84.77,85.62,653418
2015-09-30,86.06,86.28,84.23,84.67,700006
2015-10-01,84.99,85.2,83.95,84.49,652672
2015-10-02,84.2,85.66,83.92,85.66,455079
2015-10-05,86.29,87.75,84.12,87.66,292024
2015-10-06,87.48,88.1,87.07,87.63,298563
2015-10-07,87.59,88.75,87.59,88.38,473134
2015-10-08,89.59,91.26,89.24,90.73,931148
2015-10-09,90.89,91.78,89.4,89.94,359118
2015-10-12,90.17,90.83,90.12,90.4,440312
2015-10-13,91.25,92.32,90.33,92.25,789728
2015-10-14,92.48,92.88,91.8,91.95,987389
2015-10-15,91.94,94.19,91.87,92.43,450751
2015-10-16,92.43,93.36,92.06,93.04,496637
2015-10-19,93.06,94.48,92.5,94.41,364104
2015-10-20,94.38,96.86,93.99,94.36,263112
2015-10-21,94.97,95.37,93.51,93.99,511363
2015-10-22,94.43,95.03,90.64,90.65,1168131
2015-10-23,90.32,91.08,89.88,90.4,959785
2015-10-26,90.66,90.86,88.96,89.19,688960
2015-10-27,89.19,89.78,88.86,89.53,626137
2015-10-28,89.82,90.46,88.24,90.42,518346
2015-10-29,90.42,92.05,89.68,90.31,391675
2015-10-30,90.37,90.91,89.48,89.74,465534
2015-11-02,89.59,91.49,89.22,91.41,377796
2015-11-03,90.44,91.38,88.7,91.24,590090
2015-11-04,91.12,91.61,90.53,91.16,461694
2015-11-05,91.51,93.01,90.93,92.69,578044
2015-11-06,91.59,91.78,88.7,89.39,607915
2015-11-09,88.44,88.44,87.08,87.6,399165
2015-11-10,87.5,88.88,87.25,88.81,268715
2015-11-11,89.17,89.64,88.62,89.11,239736
2015-11-12,88.92,89.84,88.36,88.75,376121
2015-11-13,88.93,89.01,87.31,87.49,348366
2015-11-16,87.46,88.67,87.31,88.67,180228
2015-11-17,88.19,89.24,88.19,88.44,158612
2015-11-18,88.68,89.36,88.0,89.31,298433
2015-11-19,89.53,90.56,88.98,90.41,295335
2015-11-20,90.71,91.4,90.28,91.1,305325
2015-11-23,90.93,92.12,90.87,91.49,171252
2015-11-24,90.72,92.1,90.61,91.44,369725
2015-11-25,91.66,91.84,91.12,91.51,254126
2015-11-27,91.62,92.58,91.32,92.47,272703
2015-11-30,92.68,92.81,91.63,92.09,594795
2015-12-01,92.09,93.14,91.64,93.05,280000
2015-12-02,92.74,93.0,90.82,91.02,370400
2015-12-03,90.83,91.57,89.05,89.34,343120
2015-12-04,89.57,91.13,89.57,90.79,472396
2015-12-07,90.67,90.87,89.64,90.03,310539
2015-12-08,90.0,90.74,89.55,90.43,484188
2015-12-09,89.98,90.75,88.85,89.23,296920
2015-12-10,89.27,89.66,88.48,88.71,417028
2015-12-11,88.36,89.08,88.08,88.75,431600
2015-12-14,88.54,88.99,87.67,88.73,492325
2015-12-15,89.23,90.26,88.8,89.65,460668
2015-12-16,90.01,91.21,89.82,90.96,346098
2015-12-17,91.14,92.02,90.64,90.86,553206
2015-12-18,90.97,91.08,89.5,90.5,607522
2015-12-21,91.19,91.25,90.46,91.24,758052
2015-12-22,91.47,91.74,90.84,90.95,363430
2015-12-23,91.25,91.48,90.65,91.18,213941
2015-12-24,91.25,91.45,90.29,90.98,94679
2015-12-28,90.83,91.82,90.48,91.76,211434
2015-12-29,91.41,92.75,91.2,92.0,365534
2015-12-30,91.91,92.33,91.19,91.39,172078
2015-12-31,91.45,91.75,90.33,90.36,386051
2016-01-04,89.67,89.71,88.46,89.11,522786
2016-01-05,89.22,90.72,89.12,90.34,213646
2016-01-06,89.71,90.53,89.29,89.73,195738
2016-01-07,88.09,88.82,86.76,86.76,354667
2016-01-08,87.13,87.62,85.51,85.57,354097
2016-01-11,85.55,86.14,84.43,84.5,752023
2016-01-12,84.99,85.0,83.05,83.54,595116
2016-01-13,83.71,84.08,81.16,81.28,480495
2016-01-14,81.45,81.87,80.23,81.01,657204
2016-01-15,79.92,80.63,79.35,80.16,729366
2016-01-19,88.92,82.75,80.0,80.37,732769
2016-01-20,79.41,79.49,74.96,76.45,891806
2016-01-21,76.94,77.64,76.3,76.42,753220
2016-01-22,77.31,78.5,77.15,78.3,451093
2016-01-25,78.26,79.4,77.35,77.47,416879
2016-01-26,77.72,79.02,77.72,78.67,610988
2016-01-27,78.31,78.78,77.49,77.82,386907
2016-01-28,78.24,79.02,77.12,77.66,695124
2016-01-29,78.55,79.61,77.66,79.18,855426
2016-02-01,78.27,79.59,78.06,78.15,714431
2016-02-02,78.9,79.87,76.21,76.26,594003
2016-02-03,76.58,76.89,75.22,76.2,475440
2016-02-04,76.06,78.09,75.88,76.91,442743
2016-02-05,76.57,77.22,76.19,76.55,593320
2016-02-08,76.16,76.23,73.71,74.61,389685
2016-02-09,73.86,74.17,72.07,72.1,472568
2016-02-10,72.48,73.34,71.93,72.85,451186
2016-02-11,72.25,72.51,71.33,71.65,711641
2016-02-12,72.68,72.85,70.69,71.85,437208
2016-02-16,72.33,74.39,71.96,74.0,536070
2016-02-17,74.1,75.53,74.01,74.34,333687
2016-02-18,74.44,75.68,73.64,74.76,567474
2016-02-19,74.32,75.64,74.08,74.97,268237
2016-02-22,75.73,76.53,75.65,76.3,274062
2016-02-23,75.92,77.01,74.52,76.3,363554
2016-02-24,75.72,76.49,75.24,76.3,220309
2016-02-25,76.7,78.66,76.7,78.5,472028
2016-02-26,78.34,79.33,77.85,78.74,431338
2016-02-29,78.75,79.35,78.28,79.16,619154
2016-03-01,79.64,81.32,79.2,81.29,422979
2016-03-02,80.96,81.3,80.28,81.14,362344
2016-03-03,81.05,82.74,80.67,82.73,330182
2016-03-04,82.5,83.69,82.04,83.67,360112
2016-03-07,83.56,83.65,81.03,83.37,309497
2016-03-08,83.4,83.74,82.41,83.08,450918
2016-03-09,83.22,84.0,82.69,83.65,266840
2016-03-10,84.27,84.54,83.1,83.96,328233
2016-03-11,84.61,85.51,83.91,85.4,484638
2016-03-14,85.32,85.8,83.91,85.76,263181
2016-03-15,85.09,87.35,85.09,86.98,458313
2016-03-16,86.54,87.63,85.83,87.57,249969
2016-03-17,87.75,89.51,87.44,89.34,310811
2016-03-18,88.76,90.04,88.21,88.32,973140
2016-03-21,88.0,88.71,87.1,88.0,622890
2016-03-22,87.44,88.58,87.25,88.58,560486
2016-03-23,88.21,88.7,87.61,88.5,856324
2016-03-24,88.11,88.52,87.45,88.52,463080
2016-03-28,88.68,90.16,88.22,90.07,551182
2016-03-29,89.3,90.93,88.79,90.88,518653
2016-03-30,91.12,91.25,90.02,90.35,259484
2016-03-31,90.31,91.14,90.12,90.89,344271
2016-04-01,90.43,90.82,89.7,90.56,353722
2016-04-04,90.79,91.12,90.23,91.02,290316
2016-04-05,90.51,91.09,90.3,91.0,379418
2016-04-06,90.8,90.89,89.64,90.34,316033
2016-04-07,90.03,90.55,89.43,89.79,382263
2016-04-08,90.32,91.8,90.24,90.97,306597
2016-04-11,91.12,91.75,90.78,90.79,200766
2016-04-12,91.13,92.88,91.04,92.53,479333
2016-04-13,92.76,92.76,91.44,92.05,440142
2016-04-14,92.13,92.59,91.18,92.41,300318
2016-04-15,92.48,94.0,92.33,93.86,450504
2016-04-18,93.85,94.2,93.38,93.79,234952
2016-04-19,93.92,94.49,93.32,93.81,230026
2016-04-20,93.77,93.77,91.84,92.01,413477
2016-04-21,92.11,93.33,90.34,91.09,523110
2016-04-22,91.35,93.23,90.82,92.7,654942
2016-04-25,92.41,93.41,91.95,93.21,484940
2016-04-26,93.4,94.18,93.01,93.48,340596
2016-04-27,93.63,94.1,92.48,93.73,324685
2016-04-28,93.15,94.1,92.85,93.84,294675
2016-04-29,93.28,93.83,92.37,92.95,1171720
2016-05-02,92.73,94.98,92.41,94.16,973532
2016-05-03,93.05,93.91,92.47,93.69,572808
2016-05-04,92.65,95.52,92.65,95.4,620796
2016-05-05,95.19,95.66,94.61,95.61,513693
2016-05-06,95.4,95.72,93.74,95.65,470721
2016-05-09,95.99,96.73,95.36,96.46,560790
2016-05-10,96.55,96.69,95.57,96.03,662076
2016-05-11,96.0,96.0,93.57,93.98,592491
2016-05-12,94.13,94.41,93.28,93.72,476909
2016-05-13,93.7,95.33,93.3,94.85,940451
2016-05-16,94.78,96.88,94.71,96.31,619068
2016-05-17,95.88,96.51,93.98,94.84,580732
2016-05-18,94.76,95.78,93.29,94.29,1985221
2016-05-19,93.4,93.78,92.47,93.53,379760
2016-05-20,93.94,95.68,93.38,95.63,617069
2016-05-23,95.93,96.05,95.1,95.72,554189
2016-05-24,96.42,98.38,95.42,98.0,2218609
2016-05-25,98.04,98.39,97.24,98.26,500994
2016-05-26,98.26,98.26,96.46,96.47,846328
2016-05-27,96.54,97.4,96.42,96.58,764068
2016-05-31,96.56,97.17,94.98,96.9,3620729
2016-06-01,96.32,96.91,95.28,96.47,501656
2016-06-02,96.48,97.33,95.87,97.29,446645
2016-06-03,97.46,98.96,97.29,97.66,489934
2016-06-06,97.92,98.44,96.04,96.51,532355
2016-06-07,96.9,97.4,96.37,96.54,461927
2016-06-08,96.47,97.35,96.13,97.09,429970
2016-06-09,97.0,98.29,96.51,98.16,574143
2016-06-10,97.62,99.15,97.04,98.6,672177
2016-06-13,98.77,99.66,98.22,98.52,551234
2016-06-14,98.35,98.74,97.8,97.89,377684
2016-06-15,98.04,98.97,97.43,98.46,418898
2016-06-16,98.12,98.77,97.46,98.61,344011
2016-06-17,98.3,99.01,97.68,98.11,687757
2016-06-20,98.9,99.52,97.79,97.92,358597
2016-06-21,97.95,98.74,97.61,97.92,510110
2016-06-22,98.17,98.61,97.53,98.46,318228
2016-06-23,98.94,99.52,98.74,99.24,385771
2016-06-24,97.43,100.03,96.63,99.36,649109
2016-06-27,98.92,99.35,97.6,99.13,522140
2016-06-28,98.74,99.88,98.31,99.86,374245
2016-06-29,100.32,101.84,100.32,101.79,369120
2016-06-30,101.73,103.6,101.32,103.52,497400
2016-07-01,103.82,104.75,103.61,104.24,430306
2016-07-05,104.18,105.03,103.68,105.03,315207
2016-07-06,104.57,105.4,104.3,105.33,364904
2016-07-07,101.3,102.0,100.53,101.27,3589068
2016-07-08,101.82,103.13,101.53,102.79,935402
2016-07-11,103.13,103.89,102.18,103.73,466807
2016-07-12,103.8,103.91,102.6,103.09,743174
2016-07-13,103.56,104.44,101.47,104.42,680548
2016-07-14,103.83,104.8,103.32,103.76,389567
2016-07-15,103.37,103.87,101.31,103.67,386951
2016-07-18,103.75,104.65,103.09,104.53,511135
2016-07-19,104.53,105.11,102.64,104.92,448660
2016-07-20,105.25,106.39,104.77,106.31,604644
2016-07-21,105.56,107.3,105.56,107.19,522386
2016-07-22,106.92,109.02,106.75,108.81,724040
2016-07-25,108.99,109.43,108.48,109.29,692548
2016-07-26,109.59,109.99,109.05,109.26,762916
2016-07-27,108.92,110.0,108.36,108.8,902931
2016-07-28,108.69,111.39,108.69,111.03,532933
2016-07-29,111.16,112.97,110.97,112.3,844733
2016-08-01,112.35,113.06,111.77,112.55,611383
2016-08-02,112.1,112.92,107.54,109.48,781828
2016-08-03,109.51,111.18,108.73,110.77,517472
2016-08-04,111.24,112.44,110.64,112.38,503936
2016-08-05,112.5,112.56,110.69,111.41,533962
2016-08-08,111.3,112.99,111.0,112.14,555682
2016-08-09,111.97,112.78,111.2,112.71,437989
2016-08-10,112.8,113.28,110.47,111.12,749430
2016-08-11,111.65,111.65,109.98,110.72,544208
2016-08-12,110.8,112.55,110.74,112.45,1353660
2016-08-15,112.68,113.2,110.34,110.75,637519
2016-08-16,110.52,111.16,109.44,109.84,572857
2016-08-17,109.98,110.18,109.15,109.54,480653
2016-08-18,109.62,110.3,109.53,110.2,393231
2016-08-19,110.02,110.02,108.87,109.28,253156
2016-08-22,109.28,110.13,108.83,109.9,386906
2016-08-23,109.99,110.5,109.47,109.68,461531
2016-08-24,109.77,109.88,108.82,109.01,334662
2016-08-25,109.26,110.14,108.99,109.24,297337
2016-08-26,109.5,110.18,107.92,108.27,349672
2016-08-29,108.93,110.05,108.93,109.74,213863
2016-08-30,109.97,110.34,108.7,110.29,247332
2016-08-31,110.19,110.4,109.82,110.09,746007
2016-09-01,110.23,110.4,109.24,109.99,368309
2016-09-02,110.54,112.35,110.54,111.85,646388
2016-09-06,112.05,112.48,111.49,112.41,432075
2016-09-07,112.43,114.52,112.39,114.52,366479
2016-09-08,114.15,114.62,113.53,113.59,478467
2016-09-09,112.25,112.83,105.94,106.31,867816
2016-09-12,106.08,109.25,105.55,108.82,503657
2016-09-13,108.42,108.42,103.79,104.43,537674
2016-09-14,104.7,105.64,104.22,105.18,294320
2016-09-15,105.09,105.88,104.59,105.67,288195
2016-09-16,104.96,106.52,104.62,106.25,836372
2016-09-19,106.67,108.08,106.22,108.0,349455
2016-09-20,108.7,108.7,107.68,108.06,337408
2016-09-21,108.38,110.55,107.53,110.36,426975
2016-09-22,111.36,113.17,111.36,113.03,417692
2016-09-23,112.33,113.74,111.69,113.39,316099
2016-09-26,112.91,114.22,112.47,113.81,276284
2016-09-27,114.38,114.67,112.37,112.54,254919
2016-09-28,111.91,113.02,111.35,112.8,351229
2016-09-29,112.15,112.15,109.44,109.79,451860
2016-09-30,110.3,110.61,108.61,108.77,676003
2016-10-03,108.31,108.51,106.19,106.31,414046
2016-10-04,106.02,106.57,104.72,105.53,325006
2016-10-05,106.04,106.63,103.37,103.44,303117
2016-10-06,102.78,104.35,101.8,104.03,338412
2016-10-07,104.62,105.63,103.39,103.88,633802
2016-10-10,104.07,105.15,103.94,104.2,292716
2016-10-11,104.03,105.38,101.51,101.92,692225
2016-10-12,102.0,103.61,102.0,103.25,897760
2016-10-13,103.13,104.34,102.46,103.9,850351
2016-10-14,103.74,105.41,103.23,103.87,525573
2016-10-17,103.86,104.7,103.72,104.16,647952
2016-10-18,104.81,105.55,104.17,105.05,926028
2016-10-19,104.81,105.31,104.45,105.28,1064773
2016-10-20,105.15,106.73,105.01,106.32,365064
2016-10-21,105.53,106.82,105.19,106.75,376064
2016-10-24,108.08,108.08,106.0,106.72,252628
2016-10-25,106.28,107.63,105.58,107.34,427439
2016-10-26,106.82,106.82,105.22,106.16,451652
2016-10-27,106.02,106.02,104.03,105.12,555748
2016-10-28,105.25,106.01,104.46,104.91,295409
2016-10-31,105.68,108.04,104.86,107.81,555590
2016-11-01,107.44,109.45,105.52,107.35,798754
2016-11-02,107.22,107.63,104.45,104.55,646096
2016-11-03,105.02,105.09,102.42,102.5,861296
2016-11-04,102.55,103.31,101.73,103.0,612519
2016-11-07,104.53,106.23,104.07,106.03,342623
2016-11-08,106.15,107.44,104.5,107.08,345628
2016-11-09,104.7,109.43,103.66,109.06,787632
2016-11-10,109.1,110.21,105.8,105.93,1131587
2016-11-11,105.91,107.55,104.29,104.46,744108
2016-11-14,104.36,106.31,103.32,106.24,1066659
2016-11-15,106.8,108.24,105.23,106.6,497858
2016-11-16,106.46,107.04,104.87,106.9,370885
2016-11-17,106.82,108.05,106.49,107.31,317587
2016-11-18,107.51,107.91,106.99,107.4,291280
2016-11-21,107.89,108.89,107.89,108.55,443518
2016-11-22,109.04,111.53,109.04,111.07,623745
2016-11-23,109.65,110.74,109.27,110.62,476041
2016-11-25,110.86,112.36,110.86,111.96,215464
2016-11-28,112.05,113.06,111.36,112.12,438295
2016-11-29,112.26,114.02,111.56,111.72,697875
2016-11-30,110.82,111.32,108.98,109.59,1322727
2016-12-01,109.07,109.54,106.1,107.16,676465
2016-12-02,107.99,110.02,107.89,108.94,514446
2016-12-05,109.75,110.68,109.35,110.07,639257
2016-12-06,110.5,111.61,109.85,111.0,802649
2016-12-07,111.04,111.58,110.23,111.0,744200
2016-12-08,110.28,110.93,109.45,110.62,633616
2016-12-09,110.62,111.11,109.2,109.92,518642
2016-12-12,109.38,110.01,108.44,109.73,602308
2016-12-13,110.16,110.39,107.77,108.99,648033
2016-12-14,109.01,109.31,106.72,106.87,611401
2016-12-15,106.92,108.4,105.74,106.0,1392679
2016-12-16,106.66,108.88,106.34,107.97,1329621
2016-12-19,108.72,110.0,107.39,109.65,782797
2016-12-20,109.64,111.02,109.35,111.01,395933
2016-12-21,111.2,111.82,109.01,109.03,509739
2016-12-22,108.95,108.95,106.87,108.52,392654
2016-12-23,108.54,109.49,108.34,109.3,156974
2016-12-27,109.44,110.85,109.18,109.63,258349
2016-12-28,108.75,109.3,108.0,108.54,323124
2016-12-29,108.71,110.62,108.71,110.45,578080
2016-12-30,110.66,112.25,110.24,111.13,553141
2017-01-03,111.85,112.19,109.92,110.58,424745
2017-01-04,110.82,113.62,110.82,113.38,515908
2017-01-05,112.6,113.49,110.97,112.97,394850
2017-01-06,112.63,113.21,112.14,112.21,472333
2017-01-09,112.66,112.88,110.9,111.05,441583
2017-01-10,110.88,111.42,110.03,110.85,345541
2017-01-11,111.27,111.68,109.51,109.61,489253
2017-01-12,109.73,111.31,107.7,109.31,380062
2017-01-13,109.18,109.77,108.81,109.55,234077
2017-01-17,109.51,110.7,109.0,110.52,363985
2017-01-18,110.5,111.59,109.72,111.02,230455
2017-01-19,110.9,111.11,108.83,109.91,348776
2017-01-20,109.98,111.64,109.9,111.15,442684
2017-01-23,110.95,114.18,110.95,113.43,496242
2017-01-24,113.52,114.63,113.52,114.12,515684
2017-01-25,114.23,114.33,113.07,113.4,266516
2017-01-26,113.51,114.53,112.97,113.3,293438
2017-01-27,113.56,113.98,111.98,112.79,432703
2017-01-30,112.23,112.55,110.79,112.16,418175
2017-01-31,111.71,112.94,110.13,110.82,704131
2017-02-01,110.65,111.48,108.19,108.28,603199
2017-02-02,108.72,109.14,108.13,109.06,701732
2017-02-03,110.0,110.9,109.13,110.64,792919
2017-02-06,110.89,112.8,110.7,112.69,1040796
2017-02-07,112.68,114.01,112.68,113.24,591351
2017-02-08,113.28,115.07,112.57,114.54,666235
2017-02-09,114.79,115.46,114.25,114.98,622987
2017-02-10,114.92,115.15,114.22,114.37,2640902
2017-02-13,114.96,114.96,113.74,114.26,627307
2017-02-14,113.9,115.09,113.0,114.98,865868
2017-02-15,114.74,115.27,113.42,115.23,507555
2017-02-16,115.4,116.38,115.25,115.82,487278
2017-02-17,115.42,116.38,115.05,116.38,352130
2017-02-21,116.33,118.55,115.9,118.47,486110
2017-02-22,118.62,119.64,117.35,118.49,541924
2017-02-23,118.92,119.48,118.04,118.87,681895
2017-02-24,118.87,120.51,118.5,120.2,587158
2017-02-27,120.31,120.96,119.77,120.47,601076
2017-02-28,120.48,120.51,118.99,119.31,999091
2017-03-01,119.48,119.48,117.87,118.18,837466
2017-03-02,117.99,118.37,116.01,117.01,565773
2017-03-03,116.31,117.71,115.16,117.59,422920
2017-03-06,117.03,117.9,116.47,117.51,391987
2017-03-07,117.38,117.43,116.56,117.16,342600
2017-03-08,116.66,116.94,115.64,115.69,517147
2017-03-09,115.68,116.27,112.93,113.7,588015
2017-03-10,107.87,109.36,107.75,108.81,5443696
2017-03-13,109.26,109.99,108.69,109.09,2097847
2017-03-14,109.0,109.04,106.89,108.18,1120465
2017-03-15,108.42,111.06,108.13,110.41,1588818
2017-03-16,110.19,110.79,109.25,109.87,1129163
2017-03-17,110.0,111.24,109.86,110.27,16444344
2017-03-20,110.45,110.85,109.43,109.97,1504583
2017-03-21,111.11,111.35,110.0,110.7,1521040
2017-03-22,111.18,111.62,109.53,111.38,822730
2017-03-23,111.2,112.91,110.99,112.09,568593
2017-03-24,112.12,112.62,111.1,111.36,628393
2017-03-27,110.64,111.51,108.98,110.41,991987
2017-03-28,110.55,110.94,109.31,110.67,637079
2017-03-29,109.6,110.14,109.05,109.82,512973
2017-03-30,109.66,110.3,109.16,109.82,377565
2017-03-31,109.84,110.68,109.77,110.52,711557
2017-04-03,110.15,110.89,109.85,110.75,560496
2017-04-04,110.7,111.74,110.7,111.24,741506
2017-04-05,111.27,111.94,110.59,110.96,768251
2017-04-06,111.17,112.54,110.62,112.18,848597
2017-04-07,112.33,112.7,111.63,111.67,949354
2017-04-10,111.75,113.04,111.64,112.77,782333
2017-04-11,112.83,113.87,112.23,113.63,615002
2017-04-12,113.54,114.13,113.29,113.63,464221
2017-04-13,113.62,114.38,113.05,113.54,769473
2017-04-17,113.62,115.08,113.62,115.07,695473
2017-04-18,114.96,115.47,114.66,115.34,505469
2017-04-19,115.27,116.02,115.09,115.66,579797
2017-04-20,115.66,116.02,114.77,115.94,798866
2017-04-21,115.93,116.14,115.0,115.43,788479
2017-04-24,116.44,116.64,112.5,113.2,717432
2017-04-25,113.35,114.5,113.24,114.33,542836
2017-04-26,114.01,114.52,113.2,113.59,694465
2017-04-27,113.65,114.31,112.55,112.96,322015
2017-04-28,112.67,112.67,111.59,112.51,464377
2017-05-01,112.79,113.02,111.92,112.82,430819
2017-05-02,114.27,115.71,112.02,114.56,882289
2017-05-03,114.75,114.75,112.46,113.32,715400
2017-05-04,112.63,114.46,112.34,114.28,645762
2017-05-05,114.67,115.52,114.19,114.83,434043
2017-05-08,114.92,115.53,114.37,114.72,709151
2017-05-09,114.6,115.07,113.12,113.52,569531
